run_id,condition,is_injected_failure,model_validation,evidence_complete,ai_discovery_present,evaluation_result,approval,trace_consistent,run_available,baseline_verdict,gate_verdict,expected_gate_verdict
fi-0001,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0002,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0003,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0004,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0005,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0006,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0007,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0008,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0009,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0010,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0011,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0012,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0013,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0014,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0015,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0016,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0017,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0018,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0019,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0020,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0021,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0022,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0023,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0024,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0025,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0026,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0027,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0028,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0029,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0030,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0031,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0032,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0033,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0034,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0035,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0036,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0037,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0038,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
